[PASS] numerator = 000, denominator = 000, result = 00000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 110, denominator = 011, result = 10010, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 110, denominator = 100, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 110, denominator = 101, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 110, denominator = 110, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 110, denominator = 111, result = 10010, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 111, denominator = 000, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 111, denominator = 001, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 111, denominator = 010, result = 10001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 111, denominator = 011, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 111, denominator = 100, result = 10000, zeroFlag = 0, divByZeroFlag = 1
[PASS] numerator = 111, denominator = 101, result = 10000, zeroFlag = 1, divByZeroFlag = 0
[PASS] numerator = 111, denominator = 110, result = 10001, zeroFlag = 0, divByZeroFlag = 0
[PASS] numerator = 111, denominator = 111, result = 10000, zeroFlag = 1, divByZeroFlag = 0
